Server Name	ServerName	IPAddressOfSQLServer	name	last_backup_time	recovery_model_desc	state_desc	backup_type	physical_device_name
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	PRD	Mar 20 2026 12:00AM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.101.12.118\diff\PRD\PRD_backup_2026_03_20_000001_0665194.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	model	Mar 20 2026 12:00AM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.101.12.118\diff\model\model_backup_2026_03_20_000001_0665194.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	msdb	Mar 20 2026 12:00AM	SIMPLE	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.101.12.118\diff\msdb\msdb_backup_2026_03_20_000001_0665194.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	PRD	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	U:\PRD\PRD_backup_2026_03_15_000001_4351618.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	master	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	U:\master\master_backup_2026_03_15_000001_4351618.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	model	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	U:\model\model_backup_2026_03_15_000001_4351618.bak
SAPSANDBOX\PRD-10.101.12.118	SAPSANDBOX\PRD	10.101.12.118	msdb	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	U:\msdb\msdb_backup_2026_03_15_000001_4351618.bak
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	10.71.36.91	Audit	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\Audit\Audit_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	10.71.36.91	ESB_NPCI_IMPS_XML	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\ESB_NPCI_IMPS_XML\ESB_NPCI_IMPS_XML_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	10.71.36.91	model	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\model\model_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	10.71.36.91	msdb	Mar 20 2026  1:00AM	SIMPLE	ONLINE	Differential database	Y:\msdb\msdb_backup_2026_03_20_010002_8993346.bak
