Server Name	ServerName	TodayDate	Drive	Total(GB)	Free(GB)	Percentage
ESB-AEPS-AEPSXMLDB-10.71.36.88	AEPSXMLDB	2026-03-20 04:15:44.603	C:	79	18	23
ESB-AEPS-AEPSXMLDB-10.71.36.88	AEPSXMLDB	2026-03-20 04:15:44.603	D:	79	35	43
ESB-AEPS-AEPSXMLDB-10.71.36.88	AEPSXMLDB	2026-03-20 04:15:44.603	E:	599	361	60
ESB-AEPS-AEPSXMLDB-10.71.36.88	AEPSXMLDB	2026-03-20 04:15:44.603	F:	249	225	90
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	C:	69	31	45
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	D:	79	71	89
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	E:	599	598	99
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	F:	149	149	99
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	G:	149	149	99
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	T:	99	99	99
PBCAASHADB - 10.181.8.90	PBCAASHADB	2026-03-20 04:15:44.537	C:	99	23	23
PBCAASHADB - 10.181.8.90	PBCAASHADB	2026-03-20 04:15:44.537	D:	99	79	79
PBCAASHADB - 10.181.8.90	PBCAASHADB	2026-03-20 04:15:44.537	E:	399	277	69
PBCAASHADB - 10.181.8.90	PBCAASHADB	2026-03-20 04:15:44.537	F:	199	100	50
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	C:	99	23	23
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	D:	79	69	86
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	E:	1023	340	33
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	F:	299	290	96
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	G:	299	257	85
PRODSTACKDBRHA - 10.71.36.221 - HA of 10.71.36.11	PRODSTACKDBRHA	2026-03-20 04:15:44.530	T:	99	99	99
PRODAUDITDB360DB-10.181.144.11	PRODAUDIT360DB	2026-03-20 04:15:44.543	C:	69	33	48
PRODAUDITDB360DB-10.181.144.11	PRODAUDIT360DB	2026-03-20 04:15:44.543	D:	99	89	89
PRODAUDITDB360DB-10.181.144.11	PRODAUDIT360DB	2026-03-20 04:15:44.543	E:	199	192	96
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	C:	99	59	59
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	D:	199	108	54
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	E:	6143	5667	92
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	F:	249	0	0
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	G:	99	95	95
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	2026-03-20 04:15:44.563	T:	99	99	99
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	2026-03-20 04:17:14.517	C:	99	67	67
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	2026-03-20 04:17:14.517	D:	99	95	95
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	2026-03-20 04:17:14.517	E:	1023	1013	98
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	2026-03-20 04:17:14.517	F:	249	249	99
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	2026-03-20 04:17:14.517	G:	149	149	99
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	C:	69	31	45
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	D:	79	71	89
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	E:	599	598	99
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	F:	149	149	99
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	G:	149	149	99
AEPSIMPSDB-10.71.36.91	AEPSIMPSDB	2026-03-20 04:15:44.630	T:	99	99	99
PRODAUDIT360DB2 - 10.181.144.12	PRODAUDIT360DB2	2026-03-20 04:15:44.630	C:	89	14	16
PRODAUDIT360DB2 - 10.181.144.12	PRODAUDIT360DB2	2026-03-20 04:15:44.630	D:	89	81	91
PRODAUDIT360DB2 - 10.181.144.12	PRODAUDIT360DB2	2026-03-20 04:15:44.630	E:	199	193	96
PRODRPACTRLDB01 - 10.181.8.21	PRODRPACTRLDB01	2026-03-20 04:15:44.597	C:	99	30	30
PRODRPACTRLDB01 - 10.181.8.21	PRODRPACTRLDB01	2026-03-20 04:15:44.597	E:	499	400	80
PRODSTACKDB1-10.71.36.41	PRODSTACKDB1	2026-03-20 04:15:44.567	C:	99	32	32
PRODSTACKDB1-10.71.36.41	PRODSTACKDB1	2026-03-20 04:15:44.567	D:	1843	706	38
PRODSTACKDB1-10.71.36.41	PRODSTACKDB1	2026-03-20 04:15:44.567	F:	249	163	65
